index,date,open,high,low,close,volume,returns,log_returns,volatility,ma_20,ma_50,rsi,sentiment_score,regime
0,2024-09-23,63578.76,64745.88,62538.75,63339.99,24078.05287,,,,,,,-1,Bear
1,2024-09-24,63339.99,64688.0,62700.0,64262.7,23185.04759,0.014567574134444872,0.01446248637939056,,,,,1,Bear
2,2024-09-25,64262.7,64817.99,62947.08,63152.01,17813.11168,-0.017283587524333677,-0.017434692343162504,,,,,-1,Bull
3,2024-09-26,63152.01,65839.0,62670.0,65173.99,28373.30593,0.03201766657941674,0.03151578569135097,,,,,1,Bull
4,2024-09-27,65173.99,66498.0,64819.9,65769.95,22048.80487,0.009144138635673427,0.009102584128001627,,,,,1,Bull
5,2024-09-28,65769.95,66260.0,65422.23,65858.0,9127.23316,0.0013387572896133015,0.0013378619530761801,,,,,1,Bull
6,2024-09-29,65858.0,66076.12,65432.0,65602.01,8337.74111,-0.0038869993015275828,-0.003894573316477157,,,,,-1,Bull
7,2024-09-30,65602.01,65618.8,62856.3,63327.59,30011.08752,-0.03466997428889751,-0.03528524055475455,,,,,-1,Bull
8,2024-10-01,63327.6,64130.63,60164.0,60805.78,43671.48108,-0.03982166382772501,-0.04063624492665931,,,,,-1,Bull
9,2024-10-02,60804.92,62390.31,60000.0,60649.28,31534.70118,-0.002573768480562233,-0.002577086316775542,,,,,-1,Bull
10,2024-10-03,60649.27,61477.19,59828.11,60752.71,26221.43472,0.001705378860227258,0.001703926352847916,,,,,1,Bull
11,2024-10-04,60752.72,62484.85,60459.9,62086.0,21294.65994,0.021946181495442696,0.02170883041003728,,,,,1,Bull
12,2024-10-05,62086.0,62370.56,61689.26,62058.0,7807.46141,-0.00045098734014104025,-0.00045108906551724495,,,,,-1,Bull
13,2024-10-06,62058.01,62975.0,61798.97,62819.91,8906.86177,0.012277385671468632,0.012202629820996201,,,,47.864102231341306,1,Bull
14,2024-10-07,62819.91,64478.19,62128.0,62224.0,25966.1852,-0.009486005312646983,-0.009531284031326389,,,,45.63064526864334,-1,Bull
15,2024-10-08,62224.01,63200.0,61860.31,62160.49,19702.22371,-0.001020667266649511,-0.0010211885021863328,,,,41.17567550550102,-1,Bull
16,2024-10-09,62160.5,62543.75,60301.0,60636.02,20011.15684,-0.02452474232426416,-0.024830482976427176,,,,39.79333448544164,-1,Bull
17,2024-10-10,60636.01,61321.68,58946.0,60326.39,23967.92481,-0.005106370767738344,-0.005119452832531935,,,,27.16171293748731,-1,Bull
18,2024-10-11,60326.4,63417.56,60087.64,62540.0,23641.35209,0.036693891346722296,0.03603669892744918,,,,36.795543610947384,1,Bull
19,2024-10-12,62539.99,63480.0,62487.23,63206.22,10911.30116,0.010652702270546932,0.010596362001929363,,62837.552,,39.64852014646296,1,Bull
20,2024-10-13,63206.23,63285.72,62050.0,62870.02,11909.21995,-0.005319096759781039,-0.0053332935199566596,0.019606278413779876,62814.0535,,39.40178029018747,-1,Bull
21,2024-10-14,62870.02,66500.0,62457.81,66083.99,37669.95222,0.051120868102157546,0.04985708823410627,0.022412406987159867,62905.118,,59.96640262183932,1,Bull
22,2024-10-15,66084.0,67950.0,64800.01,67074.14,43683.95423,0.014983205463229288,0.014872066015212413,0.022146330483497442,63101.2245,,75.48776917572047,1,Bull
23,2024-10-16,67074.14,68424.0,66750.49,67620.01,29938.25544,0.008138307848598592,0.008105370403983361,0.021157113901955026,63223.5255,,77.47373714840644,1,Bull
24,2024-10-17,67620.0,67939.4,66666.0,67421.78,25328.22861,-0.0029315286998625734,-0.0029358340463448997,0.021110879631200025,63306.117000000006,,76.08984294619265,-1,Bull
25,2024-10-18,67421.78,69000.0,67192.36,68428.0,28725.635,0.014924257413553965,0.014813986471420449,0.021328103461555198,63434.617000000006,,75.46190350010838,1,Bull
26,2024-10-19,68427.99,68693.26,68010.0,68378.0,8193.66737,-0.000730695037119311,-0.0007309621248523259,0.021294461166350497,63573.41650000001,,75.32883399193643,-1,Bull
27,2024-10-20,68377.99,69400.0,68100.0,69031.99,12442.47378,0.00956433355757702,0.00951888488044817,0.019432918538935213,63858.6365,,75.11355936862768,1,Bull
28,2024-10-21,69032.0,69519.52,66840.67,67377.5,31374.42184,-0.023967004283086846,-0.02425888605349007,0.017707645438456477,64187.222499999996,,69.19143846227178,-1,Bull
29,2024-10-22,67377.5,67836.01,66571.42,67426.0,24598.96268,0.0007198248673518926,0.0007195659176902162,0.017647355730165664,64526.0585,,69.63050504975189,1,Bull
30,2024-10-23,67426.01,67472.83,65260.0,66668.65,25530.2407,-0.011232313944175898,-0.01129587277243706,0.018022055856100973,64821.85549999999,,73.8548910468878,-1,Bull
31,2024-10-24,66668.65,68850.0,66510.0,68198.28,22589.83877,0.022943767422919148,0.02268451715263484,0.018071925688136314,65127.46949999999,,78.38879780849263,1,Bull
32,2024-10-25,68198.27,68771.49,65596.29,66698.33,34479.71125,-0.02199395644582236,-0.022239429463163648,0.019029807048721235,65359.486,,65.81021491517225,-1,Bull
33,2024-10-26,66698.32,67454.55,66439.9,67092.76,11842.9077,0.005913641316056761,0.005896224370562871,0.018931853016785044,65573.1285,,65.08869491217469,1,Bull
34,2024-10-27,67092.76,68332.05,66913.73,68021.7,8653.19592,0.013845607186230069,0.013750632418520554,0.018817424378471267,65863.0135,,69.12034988850718,1,Bull
35,2024-10-28,68021.69,70270.0,67618.0,69962.21,29046.75459,0.028527808037729363,0.02812846721520796,0.019487936697985295,66253.0995,,65.89661148393294,1,Bull
36,2024-10-29,69962.21,73620.12,69760.0,72736.42,50128.60594,0.03965297837218107,0.03888698282937757,0.019405771027754627,66858.1195,,70.24799890146984,1,Bull
37,2024-10-30,72736.41,72961.0,71436.0,72344.74,26885.99056,-0.00538492271134583,-0.005399473668343945,0.019416666333768644,67459.037,,67.0837633143455,-1,Bull
38,2024-10-31,72344.75,72700.0,69685.76,70292.01,29352.10297,-0.028374281253896405,-0.02878461169591104,0.020079553095379305,67846.6375,,59.150984241801254,-1,Bull
39,2024-11-01,70292.01,71632.95,68820.14,69496.01,38301.86755,-0.011324188908526045,-0.011388795745506882,0.020404766615680678,68161.12700000001,,53.45133692811914,-1,Bull
40,2024-11-02,69496.0,69914.37,69000.14,69374.74,10521.67243,-0.0017449922664622974,-0.0017465165389545408,0.020327155832620052,68486.363,,53.20625488944705,-1,Bull
41,2024-11-03,69374.74,69391.0,67478.73,68775.99,24995.70243,-0.008630662976178316,-0.008668122839253566,0.017539458874015205,68620.963,,49.173577196928804,-1,Bull
42,2024-11-04,68775.99,69500.0,66835.0,67850.01,29800.39187,-0.01346371022794457,-0.013555167807772158,0.017592886401737305,68659.7565,,51.60065122260063,-1,Bull
43,2024-11-05,67850.01,70577.91,67476.63,69372.01,33355.06888,0.022431831623900944,0.02218393837390412,0.01818184674825964,68747.3565,,55.99383494430934,1,Bull
44,2024-11-06,69372.01,76400.0,69298.0,75571.99,104126.994787,0.0893729329739763,0.08560223984821512,0.02613901106266572,69154.867,,70.53726553626444,1,Bull
45,2024-11-07,75571.99,76849.99,74416.0,75857.89,44869.422345,0.0037831476979763856,0.0037760095920657505,0.026052967340657877,69526.3615,,68.74384859680711,1,Bull
46,2024-11-08,75857.89,77199.99,75555.0,76509.78,36521.099583,0.008593568843003663,0.00855685431952021,0.02602531040184282,69932.9505,,75.04931253500895,1,Bull
47,2024-11-09,76509.78,76900.0,75714.66,76677.46,16942.07915,0.0021916152418686163,0.0021892171563324633,0.026019100018560667,70315.224,,74.7570453239878,1,Bull
48,2024-11-10,76677.46,81500.0,76492.0,80370.01,61830.100435,0.04815691599591321,0.04703330369431591,0.026639454076199495,70964.8495,,77.9106673122033,1,Bull
49,2024-11-11,80370.01,89530.54,80216.01,88647.99,82323.665776,0.10299836966550102,0.09803226217915882,0.033169385027847394,72025.949,67379.629,82.82975972113877,1,Bull
50,2024-11-12,88648.0,89940.0,85072.0,87952.01,97299.887911,-0.00785105223479976,-0.007882034011635572,0.033042623009524305,73090.117,67871.8694,78.83884873487366,-1,Bull
51,2024-11-13,87952.0,93265.64,86127.99,90375.2,86763.854127,0.027551274837266382,0.027178568661184198,0.03312103053135156,74198.963,68394.11940000001,81.73049442697908,1,Bull
52,2024-11-14,90375.21,91790.0,86668.21,87325.59,56729.51086,-0.03374388106471693,-0.03432634643790914,0.033919222601107725,75230.326,68877.591,78.96004455815203,-1,Bull
53,2024-11-15,87325.59,91850.0,87073.38,91032.07,47927.95068,0.04244437398018164,0.041568314974823425,0.03443381210976775,76427.2915,69394.75259999999,83.31770796590513,1,Bull
54,2024-11-16,91032.08,91779.66,90056.17,90586.92,22717.87689,-0.004890034907478302,-0.004902030249246929,0.03472809737558223,77555.5525,69891.09199999999,82.49104252289604,-1,Bull
55,2024-11-17,90587.98,91449.99,88722.0,89855.99,23867.55609,-0.008068824947354392,-0.008101554091419313,0.034914554892954495,78550.2415,70371.0518,82.1583631576217,-1,Bull
56,2024-11-18,89855.98,92594.0,89376.9,90464.08,46545.03448,0.006767384122082332,0.006744588166355547,0.03437219291992328,79436.6245,70868.2932,84.83652885427394,1,Bull
